Sex,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Embarked_Q,Embarked_S,Pclass_2,Pclass_3
0,-0.027313306684475035,-0.46508427634374117,-0.46618317148792077,0.5138115038918489,-0.5563385795422586,1,False,True,False,True
0,0.16693032128244087,-0.46508427634374117,-0.46618317148792077,-0.6625632269369692,-0.5563385795422586,1,False,True,True,False
0,0.06233759853102452,-0.46508427634374117,-0.46618317148792077,3.9553985809041556,-0.5563385795422586,1,False,True,False,False
1,-0.8939387237676379,-0.46508427634374117,0.7277823612437324,-0.4678743521312413,0.07341192703021858,0,False,True,False,True
1,0.07727941606694107,0.4783345406270387,0.7277823612437324,-0.11597681371233177,0.7031624336026958,0,False,True,True,False
0,-0.669811460728889,-0.46508427634374117,-0.46618317148792077,-0.48696219079802316,-0.5563385795422586,1,False,True,False,True
0,-0.29626602233097393,-0.46508427634374117,-0.46618317148792077,0.5138115038918489,-0.5563385795422586,1,False,True,False,True
0,0.06233759853102452,-0.46508427634374117,-0.46618317148792077,4.075039579498675,-0.5563385795422586,1,False,False,False,False
0,0.05486668976306611,-0.46508427634374117,-0.46618317148792077,-0.5011900954135049,-0.5563385795422586,1,True,False,False,True
1,0.07727941606694107,0.4783345406270387,-0.46618317148792077,-0.2877611150115036,0.07341192703021858,0,False,True,False,True
0,1.9450066080565163,-0.46508427634374117,-0.46618317148792077,0.07662982713825477,-0.5563385795422586,1,False,False,False,False
1,-0.669811460728889,0.4783345406270387,-0.46618317148792077,-0.45798374084431925,0.07341192703021858,0,False,True,False,True
0,0.525533942144439,7.082266259422497,1.9217478939753856,0.7856304888639273,5.741166486182514,0,False,True,False,True
0,1.9450066080565163,-0.46508427634374117,-0.46618317148792077,-0.10973011184690733,-0.5563385795422586,1,False,True,False,False
0,-0.669811460728889,-0.46508427634374117,-0.46618317148792077,-0.5001489784359341,-0.5563385795422586,1,False,True,False,True
1,0.22669759142610707,0.4783345406270387,-0.46618317148792077,1.2114473326903592,0.07341192703021858,0,True,False,False,False
0,-0.669811460728889,-0.46508427634374117,-0.46618317148792077,-0.5015378284840135,-0.5563385795422586,1,True,False,False,True
0,-0.124435120667933,-0.46508427634374117,-0.46618317148792077,-0.5116012651892122,-0.5563385795422586,1,False,True,False,True
0,0.9737884682219371,-0.46508427634374117,-0.46618317148792077,-0.5282591368303441,-0.5563385795422586,1,False,True,False,True
1,-1.416902337524719,2.3651721745685985,0.7277823612437324,-0.13228695228295498,1.9626634467476503,0,False,True,False,True
0,0.00257032838735806,0.4783345406270387,-0.46618317148792077,-0.32732356015919156,0.07341192703021858,0,False,True,False,True
1,0.15198850374652406,-0.46508427634374117,-0.46618317148792077,0.9260084554177004,-0.5563385795422586,1,False,False,False,False
1,0.6898939350395219,-0.46508427634374117,-0.46618317148792077,0.9865660655350799,-0.5563385795422586,1,False,False,False,False
0,-0.819229636088055,-0.46508427634374117,-0.46618317148792077,-0.44392866164711425,-0.5563385795422586,1,False,True,True,False
0,-0.44568419769013995,-0.46508427634374117,-0.46618317148792077,-0.49815419830690855,-0.5563385795422586,1,False,True,False,True
1,1.123206643581103,-0.46508427634374117,-0.46618317148792077,-0.38146164299287,-0.5563385795422586,1,False,True,True,False
0,-0.520393285369723,-0.46508427634374117,-0.46618317148792077,-0.49815419830690855,-0.5563385795422586,1,False,True,False,True
0,0.8990793805423541,-0.46508427634374117,0.7277823612437324,-0.48756812087896934,0.07341192703021858,0,False,True,False,True
